,City,lat,lon,temp,humidity,clouds,wind,c_id
270,ajo,-36.406332,-56.943289,67.73179999999999,88,0,2.71,3429160
103,antonio ferraz,-16.266667,-40.333333,67.91180000000004,100,92,0.96,3450842
382,casa san martin,-53.333333,-68.95,44.24179999999998,68,48,12.46,3875367
797,nunatami,80.0,-66.0,-2.2756000000000043,87,48,3.66,0
263,moeatoa,-38.35,174.766667,68.09179999999998,95,32,5.51,2184564
571,douar soukhlidja,36.5558333,1.8555556,50.26999999999996,87,40,4.1,2487709
386,estancia la marina,-54.316667,-68.55,44.86999999999996,83,20,13.4,3833367
616,azenhas,42.030126,-8.617797,46.66999999999996,81,75,2.1,8010634
444,nagbigu,9.1166667,-0.15,75.75439999999999,87,36,2.96,2305894
158,brisee verdiere,-20.1638889,57.6466667,80.86999999999996,88,40,2.6,934677
482,ban thin,17.465834,102.634945,74.53399999999999,88,40,1.0,1609324
316,dennes point,-43.066667,147.35,61.069999999999965,44,20,3.6,2169051
672,dodino,55.636403,38.313853,23.882000000000016,92,40,2.0,465436
317,clarkville,-43.416667,172.616667,80.86999999999996,26,12,9.8,6220587
265,ancona,-36.983333,145.816667,57.24680000000002,88,0,1.31,2177915
643,kenes,53.233333,75.559444,7.624400000000048,69,0,2.01,1522061
188,garganta do lizandro,-24.866667,-49.05,71.24179999999998,88,68,0.96,3466405
152,estancia ojo de agua,-20.9166667,-68.0,46.5818,13,0,3.86,3907580
163,sitio miguel l. da costa,-23.821324,-50.053895,67.91180000000004,95,44,0.61,7776186
789,nunatame,80.0,-66.0,-2.2756000000000043,87,48,3.66,0
691,kuzintsy,58.247163,50.166141,24.994400000000006,89,80,6.36,539284
79,honorato,-10.283333,-60.516667,75.24680000000002,93,48,0.36,3665202
634,la grelle,45.983333,1.216667,39.469999999999956,80,0,3.1,2979153
129,ichupampa,-17.0411111,-70.7680556,40.641799999999975,63,0,0.61,3927158
201,etholeni,-28.420657,30.222181,65.97679999999997,76,64,1.41,1006420
716,sortjarn,63.25,18.5,14.269999999999957,85,0,2.1,2722320
709,ayrinmaki,64.616667,24.616667,16.069999999999958,78,88,1.0,640276
25,kwasunga,-5.05,38.3333333,60.21679999999998,92,0,0.41,149595
159,estaca,-20.3,-54.533333,70.56679999999997,94,76,2.96,3463909
791,isachsen,78.783333,-103.533333,-27.115600000000022,43,0,2.11,5984185
624,stehekin,48.3094444,-120.6552778,30.574400000000047,65,20,0.76,5802694
494,ban keng,19.283333,104.816667,69.54440000000001,100,100,1.41,1559969
711,gulkana,62.2713889,-145.3822222,35.86999999999996,34,1,6.2,5862936
540,sajin,32.7833333,36.4666667,42.184400000000025,98,12,2.31,172441
773,qanaq,77.4894444,-69.3322222,-11.635599999999982,75,0,3.76,3831208
111,camuna,-16.2666667,-69.2,51.80179999999996,98,76,3.31,3925476
540,sajin,32.7833333,36.4666667,42.184400000000025,98,12,2.31,172441
470,hisn thujay`ah,15.0666667,48.0333333,49.564399999999964,54,0,1.91,80383
15,imbonga,-0.45,19.816667,71.19680000000002,97,56,1.06,218680
171,taolambositsy ambany,-24.25,44.75,68.76679999999999,76,0,4.11,1078553
762,neqi,77.8666667,-71.6166667,-26.215600000000023,79,24,0.31,3831208
428,bocas del rosario,7.738333,-73.7977,72.33440000000003,100,20,0.96,3668012
275,appin south,-35.916667,143.866667,64.76180000000005,77,0,2.16,2177802
31,pangala,-2.9057,119.8103,68.72180000000003,98,88,1.26,1969003
486,la estancia,16.775,-99.383333,79.06999999999996,74,5,2.6,3518461
351,puerto san julian,-49.305541,-67.727432,54.77180000000002,38,36,4.46,3840082
416,lingomo,0.8833333,23.5666667,71.34440000000001,96,24,1.31,219414
91,gangolo,-11.2530556,39.6152778,67.46180000000004,95,0,1.06,877631
118,nicuara,-13.8833333,39.0833333,68.6318,95,0,1.26,1037125
444,nagbigu,9.1166667,-0.15,75.75439999999999,87,36,2.96,2305894
492,lititz,17.9166667,-77.6,72.51439999999997,76,32,1.21,3491161
